Date,Close
12/16/2019,327
12/17/2019,327
12/18/2019,330.68
12/19/2019,333.5
12/20/2019,328
12/23/2019,337.55
12/24/2019,333
12/26/2019,329.92
12/27/2019,330.14
12/30/2019,326.4
12/31/2019,325.76
1/2/2020,333.32
1/3/2020,332.76
1/6/2020,333.74
1/7/2020,337.28
1/8/2020,331.37
1/9/2020,336.34
1/10/2020,329.92
1/13/2020,330.22
1/14/2020,332.35
1/15/2020,329.8
1/16/2020,332
1/17/2020,324.15
1/21/2020,313.37
1/22/2020,309
1/23/2020,317.79
1/24/2020,323.05
1/27/2020,316.6
1/28/2020,316.56
1/29/2020,322.02
1/30/2020,323.3
1/31/2020,318.27
2/3/2020,316
2/4/2020,317.94
2/5/2020,329.55
2/6/2020,341.43
2/7/2020,336.75
2/10/2020,344.67
2/11/2020,344.42
2/12/2020,347.45
2/13/2020,342.82
2/14/2020,340.49
2/18/2020,338.88
2/19/2020,338.3
2/20/2020,336.28
2/21/2020,330.38
2/24/2020,317.9
2/25/2020,304.14
2/26/2020,305.59
2/27/2020,287.76
2/28/2020,275.11
3/2/2020,289.27
3/3/2020,280.62
3/4/2020,283.12
3/5/2020,260.37
3/6/2020,262.33
3/9/2020,227.17
3/10/2020,231.01
3/11/2020,189.08
3/12/2020,154.84
3/13/2020,170.2
3/16/2020,129.61
3/17/2020,124.14
3/18/2020,101.89
3/19/2020,97.71
3/20/2020,95.01
3/23/2020,105.62
3/24/2020,127.68
3/25/2020,158.73
3/26/2020,180.55
3/27/2020,162
3/30/2020,152.28
3/31/2020,149.14
4/1/2020,130.7
4/2/2020,123.27
4/3/2020,124.52
4/6/2020,148.77
4/7/2020,141.58
4/8/2020,146.87
4/9/2020,151.84
4/13/2020,147.33
4/14/2020,141
4/15/2020,145.98
4/16/2020,134.24
4/17/2020,154
4/20/2020,143.61
4/21/2020,136.33
4/22/2020,134.97
4/23/2020,137.74
4/24/2020,128.98
4/27/2020,128.68
4/28/2020,131.3
4/29/2020,139
4/30/2020,141.02
5/1/2020,133.37
5/4/2020,131.46
5/5/2020,125.4
5/6/2020,121.86
5/7/2020,128.65
5/8/2020,133.44
5/11/2020,128.91
5/12/2020,125.22
5/13/2020,121.5
5/14/2020,122.52
5/15/2020,120
5/18/2020,135.44
5/19/2020,130.44
5/20/2020,133.32
5/21/2020,139
5/22/2020,137.53
5/26/2020,144.73
5/27/2020,149.52
5/28/2020,149.82
5/29/2020,145.85
6/1/2020,151.39
6/2/2020,153.31
6/3/2020,173.16
6/4/2020,184.3
6/5/2020,205.43
6/8/2020,230.5
6/9/2020,216.74
6/10/2020,203.41
6/11/2020,170
6/12/2020,189.51
6/15/2020,190.94
6/16/2020,197.77
6/17/2020,192.54
6/18/2020,192.29
6/19/2020,187.02
6/22/2020,188.52
6/23/2020,187.88
6/24/2020,176.69
6/25/2020,174.88
6/26/2020,170.01
6/29/2020,194.49
6/30/2020,183.3
7/1/2020,180.32
7/2/2020,180.81
7/6/2020,187.91
7/7/2020,178.88
7/8/2020,180.08
7/9/2020,173.28
7/10/2020,178.44
7/13/2020,175.65
7/14/2020,179.96
7/15/2020,187.94
7/16/2020,178.7
7/17/2020,175.66
7/20/2020,174.42
7/21/2020,178.63
7/22/2020,179.79
7/23/2020,176.45
7/24/2020,173.76
7/27/2020,170.21
7/28/2020,170.84
7/29/2020,166.01
7/30/2020,161.95
7/31/2020,158
8/3/2020,162.27
8/4/2020,165.07
8/5/2020,174.28
8/6/2020,172.2
8/7/2020,170.02
8/10/2020,179.41
8/11/2020,180.13
8/12/2020,175.44
8/13/2020,174.73
8/14/2020,178.08
8/17/2020,172.01
8/18/2020,170.23
8/19/2020,169.27
8/20/2020,169.58
8/21/2020,167.5
8/24/2020,178.27
8/25/2020,174.73
8/26/2020,171.9
8/27/2020,174.2
8/28/2020,175.8
8/31/2020,171.82
9/1/2020,172.1
9/2/2020,174.78
9/3/2020,168.77
9/4/2020,171.05
9/8/2020,161.08
9/9/2020,160.78
9/10/2020,157.69
9/11/2020,160.23
9/14/2020,165.35
9/15/2020,163.49
9/16/2020,167.46
9/17/2020,167.53
9/18/2020,161.14
9/21/2020,156.35
9/22/2020,156.8
9/23/2020,151.18
9/24/2020,146.05
9/25/2020,156.03
9/28/2020,166.08
9/29/2020,163.6
9/30/2020,165.26
10/1/2020,167.86
10/2/2020,168.08
10/5/2020,171.2
10/6/2020,159.54
10/7/2020,164.61
10/8/2020,168
10/9/2020,167.33
10/12/2020,167.35
10/13/2020,162.14
10/14/2020,163.24
10/15/2020,164.24
10/16/2020,167.35
10/19/2020,167.11
10/20/2020,167.24
10/21/2020,163.86
10/22/2020,169.07
10/23/2020,167.36
10/26/2020,160.83
10/27/2020,155.24
10/28/2020,148.14
10/29/2020,148.29
10/30/2020,144.39
11/2/2020,148.6
11/3/2020,153.65
11/4/2020,151.63
11/5/2020,157.09
11/6/2020,157.74
11/9/2020,179.36
11/10/2020,188.69
11/11/2020,182.15
11/12/2020,176.72
11/13/2020,187.11
11/16/2020,202.4
11/17/2020,210.05
11/18/2020,203.3
11/19/2020,205.67
11/20/2020,199.62
11/23/2020,211.53
11/24/2020,218.49
11/25/2020,217.61
11/27/2020,216.5
11/30/2020,210.71
12/1/2020,213.01
12/2/2020,223.85
12/3/2020,237.2
12/4/2020,232.71
12/7/2020,238.17
12/8/2020,236.57
12/9/2020,232.06
12/10/2020,234.43
12/11/2020,230.33
12/14/2020,228.62
